code,name,brand,category,description,price_usd,price_ars
1439/00038-038,ENGRANAJE DE DISTRIBUCION HONDA CB1 KIT 3 PZAS,NSU,Repuestos / General,"ENGRANAJE DE DISTRIBUCION HONDA CB1 KIT 3 PZAS Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 1.3733301067939 | precio ARS 0.0 Código interno: 1439/00038-038. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",1.3733301067939,0.0
1439/00048-038,ENGRANAJE DE DISTRIBUCION HONDA WAVE 110S 3PZAS,NSU,Repuestos / General,"ENGRANAJE DE DISTRIBUCION HONDA WAVE 110S 3PZAS Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 1.836746593680954 | precio ARS 0.0 Código interno: 1439/00048-038. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",1.836746593680954,0.0
1439/00100-077,ENGRANAJE DE PUNTA DE CIGUEÑAL YAMAHA YBR125,NSU,Repuestos / General,"ENGRANAJE DE PUNTA DE CIGUEÑAL YAMAHA YBR125 Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 5.572434919392 | precio ARS 0.0 Código interno: 1439/00100-077. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",5.572434919392,0.0
1439/00050-057,ENGRANAJE DE TRANSMISION HONDA NH 100 REGENT,,Repuestos / General,"ENGRANAJE DE TRANSMISION HONDA NH 100 REGENT Categoría: Repuestos / General. precio USD 11.69728882773365 | precio ARS 0.0 Código interno: 1439/00050-057. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",11.69728882773365,0.0
1439/00080-022,ENGRANAJE DE TRANSMISION SUZUKI AX100,NSU,Repuestos / General,"ENGRANAJE DE TRANSMISION SUZUKI AX100 Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 3.509087637291113 | precio ARS 0.0 Código interno: 1439/00080-022. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",3.509087637291113,0.0
1437/00070-077,ENGRANAJE LOCO ARRANQUE Z-28 YAMAHA YBR/XTZ 125,NSU,Repuestos / General,"ENGRANAJE LOCO ARRANQUE Z-28 YAMAHA YBR/XTZ 125 Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 5.906870567214544 | precio ARS 0.0 Código interno: 1437/00070-077. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",5.906870567214544,0.0
1189/00030-557,ENGRANAJE PRIMARIO DE 1ª PUMA 4 SERIE Z-34,,Repuestos / General,"ENGRANAJE PRIMARIO DE 1ª PUMA 4 SERIE Z-34 Categoría: Repuestos / General. precio USD 0.0 | precio ARS 8.134830000000001 Código interno: 1189/00030-557. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,8.134830000000001
1423/00050-557,ENGRANAJE PRIMARIO PUMA 4 SERIE,,Repuestos / General,"ENGRANAJE PRIMARIO PUMA 4 SERIE Categoría: Repuestos / General. precio USD 0.0 | precio ARS 46.76057100000001 Código interno: 1423/00050-557. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,46.76057100000001
1423/00055-038,ENGRANAJE PRIMARIO YAMAHA V80,NSU,Repuestos / General,"ENGRANAJE PRIMARIO YAMAHA V80 Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 6.127809886848394 | precio ARS 0.0 Código interno: 1423/00055-038. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",6.127809886848394,0.0
1423/00060-514,ENGRANAJE PRIMARIO ZANELLA HELICOIDAL BRN,,Repuestos / General,"ENGRANAJE PRIMARIO ZANELLA HELICOIDAL BRN Categoría: Repuestos / General. precio USD 0.0 | precio ARS 15133.420269 Código interno: 1423/00060-514. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,15133.420269
