code,description,price_importado,price_nacional,categoria_nueva,marca_final,modelo_final
1143/00011-511,CABLE EMBRAGUE CORVEN TRIAX 250 TOURING BOTTA,0,4896.618804000001,OTROS,CORVEN,TRIAX 250
1143/00399-511,CABLE EMBRAGUE CUSTOM 150 EMB.AUTOLIBRICADO BOTTA,0,5490.618210000001,OTROS,,150
1143/00010-587,CABLE EMBRAGUE DAELIM CUSTOM 125 VICOMAND,0,268.44939,OTROS,,125
1143/00040-083,CABLE EMBRAGUE GUERRERO GD 100 NSU,1.228398669997108,0,OTROS,,100
1143/00051-511,CABLE EMBRAGUE GUERRERO GMX150 BOTTA,0,4936.352058,OTROS,,UNIVERSAL
1143/00045-128,CABLE EMBRAGUE GUERRERO GXL 125 .,1.565746525621891,0,OTROS,,125
1143/00052-511,CABLE EMBRAGUE GUERRERO TUNDRA 200 BOTTA,0,4618.280205,OTROS,,200
1143/00111-511,CABLE EMBRAGUE HONDA BROSS NXR 125 BOTTA,0,5144.486093999999,OTROS,HONDA,XR 125
1143/00088-511,CABLE EMBRAGUE HONDA CB 125 TWISTER BOTTA,0,4362.180075,OTROS,HONDA,TWISTER 125
1143/00203-511,CABLE EMBRAGUE HONDA CB 190 BOTTA,0,5531.723604000001,OTROS,HONDA,CB
1143/00089-511,CABLE EMBRAGUE HONDA CBX 250 NEW TWISTER INYECCION BOTTA,0,5532.635097,OTROS,HONDA,TWISTER
1143/00075-128,CABLE EMBRAGUE HONDA CBX 250 TWISTER .,1.711634869183846,0,OTROS,HONDA,TWISTER
1143/00100-511,CABLE EMBRAGUE HONDA CG 125 TODAY BOTTA,0,4578.076503,OTROS,HONDA,CG125
1143/00109-511,CABLE EMBRAGUE HONDA CG 150 BOTTA,0,4316.350599,OTROS,HONDA,CG150
1143/00113-511,CABLE EMBRAGUE HONDA CG TITAN 150 CON CODO BOTTA,0,4844.428479,OTROS,HONDA,TITAN
1143/00110-128,CABLE EMBRAGUE HONDA CG TITAN 2000 .,1.384214824223328,0,OTROS,HONDA,TITAN
1143/00110-511,CABLE EMBRAGUE HONDA CG TITAN 2000 BOTTA,0,4813.800354,OTROS,HONDA,TITAN
1143/00185-128,CABLE EMBRAGUE HONDA STORM .,1.645086079557724,0,OTROS,HONDA,UNIVERSAL
1143/00205-511,CABLE EMBRAGUE HONDA STORM BOTTA,0,5240.300670000001,OTROS,HONDA,UNIVERSAL
1143/00210-128,CABLE EMBRAGUE HONDA TITAN 125 .,1.39501308618021,0,OTROS,HONDA,TITAN
1143/00112-511,CABLE EMBRAGUE HONDA TORNADO 250 BOTTA,0,4757.179977000001,OTROS,HONDA,TORNADO
1143/00372-511,CABLE EMBRAGUE MOTOMEL CG200 SERIE 5 C/TEFLON BOTTA,0,5332.459473,OTROS,HONDA / MOTOMEL,CG
1143/00015-511,CABLE EMBRAGUE MOTOMEL CLIPPER/CUSTOM BOTTA,0,5254.815951,TORNILLERÍA Y FIJACIONES,MOTOMEL,UNIVERSAL
